Rank,Player,From,To,Position,Fee(€ mln),Fee(£ mln),Year,Year of birth,Reference
1,Neymar,Barcelona,Paris Saint-Germain,Forward,€222[a],£198,2017,1992,[3][7][8][5][6]
2,Kylian Mbappé,Monaco,Paris Saint-Germain,Forward,€135[b],£116,2018[c],1998,[9][10]
3,João Félix,Benfica,Atlético Madrid,Forward,€126[d],£114.1,2019,1999,[11]
4,Antoine Griezmann,Atlético Madrid,Barcelona,Forward,€120,£107,2019,1991,[12]
4,Philippe Coutinho,Liverpool,Barcelona,Midfielder,€120,£105[e],2018,1992,[13]
6,Ousmane Dembélé,Borussia Dortmund,Barcelona,Forward,€105[f],£97,2017,1997,[14][15][16]
6,Paul Pogba,Juventus,Manchester United,Midfielder,€105[g],£89,2016,1993,[17][18][19][20]
8,Eden Hazard,Chelsea,Real Madrid,Forward,€100,£89[h],2019,1991,[21][22]
8,Cristiano Ronaldo,Real Madrid,Juventus,Forward,€100[i],£88,2018,1985,[23]
8,Gareth Bale,Tottenham Hotspur,Real Madrid,Forward,€100,£86,2013,1989,[24][25][26][27][28][29][30][31]
11,Cristiano Ronaldo,Manchester United,Real Madrid,Forward,€94,£80,2009,1985,[32][33][34]
12,Gonzalo Higuaín,Napoli,Juventus,Striker,€90,£75.3,2016,1987,[35][36][37]
13,Harry Maguire,Leicester City,Manchester United,Defender,€87,£80,2019,1993,[38][39]
14,Romelu Lukaku,Everton,Manchester United,Striker,€85,£75[j],2017,1993,[40][41][42][43]
15,Virgil van Dijk,Southampton,Liverpool,Defender,€84.5,£75,2018,1991,[44][10]
16,Luis Suárez,Liverpool,Barcelona,Striker,€82.3,£65,2014,1987,[45]
17,Romelu Lukaku,Manchester United,Internazionale,Striker,€80,£74,2019,1993,[46][47][48][49]
17,Nicolas Pépé,Lille,Arsenal,Winger,€80,£72,2019,1995,[50]
17,Kepa Arrizabalaga,Athletic Bilbao,Chelsea,Goalkeeper,€80[k],£71.6,2018,1994,[51][52]
17,Lucas Hernandez,Atlético Madrid,Bayern Munich,Defender,€80,£70,2019,1996,[53]
21,Zinedine Zidane,Juventus,Real Madrid,Midfielder,€77.5[l],£46.6,2001,1972,[55][56][57]
22,James Rodríguez,Monaco,Real Madrid,Midfielder,€76,£63,2014,1991,[58][59][60][61]
23,Ángel Di María,Real Madrid,Manchester United,Midfielder,€75.6,£59.7,2014,1988,[62][63]
24,Matthijs de Ligt,Ajax,Juventus,Defender,€75[m],£67.5,2019,1999,[64][65][66]
24,Frenkie de Jong,Ajax,Barcelona,Midfielder,€75[n],£65,2019,1997,[67][68]
24,Kevin De Bruyne,VfL Wolfsburg,Manchester City,Midfielder,€75,£55,2015,1991,[69][70]
27,Rodri,Atlético Madrid,Manchester City,Midfielder,€70,£63,2019,1996,[71]
27,Thomas Lemar,Monaco,Atlético Madrid,Midfielder,€70,£63,2018,1995,[72]
29,Zlatan Ibrahimović,Internazionale,Barcelona,Striker,€69.5[o],£56,2009,1981,[73][74][75][76]
30,Riyad Mahrez,Leicester City,Manchester City,Forward,€67.8,£60,2018,1991,[77]
31,Kaká,Milan,Real Madrid,Midfielder,€67[p],£56,2009,1982,[78][79][80][81][82]
32,Álvaro Morata,Real Madrid,Chelsea,Striker,€65.5,£58[q],2017,1992,[83][84]
33,Aymeric Laporte,Athletic Bilbao,Manchester City,Defender,€65.2,£57,2018,1994,[85]
34,João Cancelo,Juventus,Manchester City,Defender,€65,£24.7[r],2019,1994,[86]
35,Edinson Cavani,Napoli,Paris Saint-Germain,Striker,€64.5,£55,2013,1987,[87][88][89][90]
36,Christian Pulisic,Borussia Dortmund,Chelsea,Forward,€64,£58,2019,1998,[91]
36,Ángel Di María,Manchester United,Paris Saint-Germain,Midfielder,€64,£45,2015,1988,[92][93][94]
38,Pierre-Emerick Aubameyang,Borussia Dortmund,Arsenal,Striker,€63.7,£56.1,2018,1989,[95][96]
39,Alisson,Roma,Liverpool,Goalkeeper,€62.5,£56[s],2018,1992,[97][98]
39,Raheem Sterling,Liverpool,Manchester City,Forward,€62.5,£44[t],2015,1994,[99][100]
41,Luís Figo,Barcelona,Real Madrid,Midfielder,€62,£37,2000,1972,[101][102]
42,Oscar,Chelsea,Shanghai SIPG,Midfielder,€61[u],£52,2017,1991,[103][104][105]
43,Luka Jović,Eintracht Frankfurt,Real Madrid,Forward,€60,£54,2019,1997,[106]
43,Tanguy Ndombele,Lyon,Tottenham Hotspur,Midfielder,€60[v],£53.8,2019,1996,[107][108]
43,Naby Keïta,RB Leipzig,Liverpool,Midfielder,€60,£52.75,2018,1995,[109]
43,Radamel Falcao,Atlético Madrid,Monaco,Striker,€60[w],£51,2013,1986,[110][111]
47,Fernando Torres,Liverpool,Chelsea,Striker,€59,£50,2011,1984,[112][113]
47,Fred,Shakhtar Donetsk,Manchester United,Midfielder,€59,£47,2018,1993,[114]
49,Hernán Crespo,Parma,Lazio,Striker,€58.5,£35[x],2000,1975,[115][116]
50,Benjamin Mendy,Monaco,Manchester City,Defender,€58.1,£52,2017,1993,[117]
