Year,Title,Worldwide gross,Budget,Reference(s)
1915,The Birth of a Nation,"$50,000,000–100,000,000$20,000,000+R ($5,200,000)R","$110,000",[# 79][# 80][# 81]
1916,Intolerance,"$1,000,000*R IN","$489,653",[# 82][# 83]
1917,Cleopatra,"$500,000*R","$300,000",[# 82]
1918,Mickey,"$8,000,000","$250,000",[# 84]
1919,The Miracle Man,"$3,000,000R","$120,000",[# 85]
1920,Way Down East,"$5,000,000R ($4,000,000)R","$800,000",[# 86][# 87]
1921,The Four Horsemen of the Apocalypse,"$5,000,000R ($4,000,000)R","$600,000–800,000",[# 88]
1922,Robin Hood,"$2,500,000R","$930,042.78",[# 89][# 90]
1923,The Covered Wagon,"$5,000,000R","$800,000",[# 91][# 92]
1924,The Sea Hawk,"$3,000,000R","$700,000",[# 91]
1925,The Big Parade,"$18,000,000–22,000,000R  ($6,131,000)R","$382,000",[# 93][# 94][# 95]
1925,Ben-Hur,"$10,738,000R ($9,386,000)R","$3,967,000",[# 96][# 97]
1926,For Heaven's Sake,"$2,600,000R FH","$150,000",[# 86][# 98]
1927,Wings,"$3,600,000R","$2,000,000",[# 86][# 99][# 100]
1928,The Singing Fool,"$5,900,000R","$388,000",[# 100][# 101]
1929,The Broadway Melody,"$4,400,000–4,800,000R","$379,000",[# 102][# 103]
1929,Sunny Side Up,"$3,500,000*R SS","$600,000",[# 104][# 105]
1930,All Quiet on the Western Front,"$3,000,000R","$1,250,000",[# 86][# 106][# 107][# 108]
1931,Frankenstein,"$12,000,000R ($1,400,000)R","$250,000",[# 109][# 110]
1931,City Lights,"$5,000,000R","$1,607,351",[# 111]
1932,The Sign of the Cross,"$2,738,993R","$694,065",[# 92][# 112][# 113][# 114]
1933,King Kong,"$5,347,000R ($1,856,000)R","$672,255.75",[# 115]
1933,I'm No Angel,"$3,250,000+R","$200,000",[# 116][# 117]
1933,Cavalcade,"$3,000,000–4,000,000R","$1,116,000",[# 87][# 107]
1933,She Done Him Wrong,"$3,000,000+R","$274,076",[# 118][# 119][# 120]
1934,The Merry Widow,"$2,608,000R","$1,605,000",[# 121][# 113]
1934,It Happened One Night,"$1,000,000R ON","$325,000",[# 122][# 123]
